"
",,,,,
,,,,,
Digi-Key,,,,,
,,http://www.digikey.com/,,,
,5,A012B-4-ND,HEATSHRINK 1-2 IN X 4FT BLACK,1.66,8.30
,,soldering:,-,,
,4,KE1409-ND,"SOLDER NO-CLEAN .020"" X 1 lb-",74.33,297.32
,1,K416-ND,FAN FUME ABSORBER BENCHTOP 115V-,101.2,101.20
,10,EB1088-ND,"QUICK BRAID GOLD .050"" X 10'-",4.63,46.30
,2,WES51-ND,SOLDER STATION ANALOG 50W-,99,198.00
,20,ETU-ND,"TIP REPLACEMENT SINGLE FLAT.015""-",5.12,102.40
,10,TC205-ND,SPONGE REPLACEMENT,1.1,11
,,tools:,-,,
,20,EROP7SA-ND,TWEEZER CURVED PRECISION TIP-,3.5,70.00
,5,PA70057-ND,WIRE STRIPPER DATASHARK 30-20AWG-,10.91,54.55
,5,MS54-ND,PLIER DIAGONAL CUTTING-,16.8,84.00
,5,L4V-ND,PLIER SUBMINIATURE LONG NOSE-,16.1,80.50
,10,243-1021-ND,"MAGNIFIER EYE LOUPE 10X 1"" LENS-",2.16,21.60
,4,201PV-ND,PANAVISE JR. UNIVERSAL VISE-,27.99,111.96
,2,XP600-ND,SCREWDRIVER PRECISION SET 6 PC,25.7,51.40
,,battery connections:,-,,
,100,BS6I-MC-ND,9V BATTERY SNAP WITH 2PC MOLDED-,0.52,52.00
,50,BH9V-W-ND,HOLDER BATTERY 9V WIRE LEADS-,"1,265",63.25
,100,55K-ND,CLIP BATTERY AAA-N CELL SMT,0.2815,28.15
,,multimeter:,-,,
,2,705-1030-ND,DMM COMPACT AUTO,61.95,123.90
,,USB:,-,,
,25,768-1007-1-ND,IC USB TO SERIAL UART 28-SSOP-,4.05,101.25
,3,768-1028-ND,CABLE USB TO TTL SERIAL CONV,20,60.00
,3,768-1015-ND,CABLE USB - SERIAL TTL CONVERTER-,20,60.00
,100,670-2674-1-ND,RCPT MICRO USB 2.0 B SMT H/D,0.6237,62.37
,100,H2961CT-ND,CONN RECEPT MINI USB2.0 5POS,0.7425,74.25
,,,,,
,,For labs requiring 220V:,,,
,,"*** Welding Station: WES51DUK: 220V, 50Hz you will need to source this locally",,,
,,,,,
,,,,,
,,Mouser,,,
,,http://www.mouser.com,,,
,,ribbon cable connectors:,,,
,100,649-71600-104LF,Quickie IDC Connectors 2X2P SNGL BM RCPL 30 microinch gold,475,47.50
,100,649-71600-006LF,Quickie IDC Connectors 2X3P SNGL BM RCPL 30 microinch gold,596,59.60
,100,649-71600-010LF,Quickie IDC Connectors 2X5P SNGL BM RCPL 30 microinch gold,0.84,84.00
,100,649-95278-101A04LF,Bergstik Headers 2X2P UNSHRD HDR 30 microinch gold,649,64.90
